Ссылка;ID;Монета;Цена;Капитализация;Торги 24;Цена мин;Дата мин цены;Цена макс;Дата макс цены
https://www.coingecko.com/en/coins/uniswap;12504;Uniswap;$9.64;$7,266,599,845;$9,640,383,641;$1.03;Sep 17, 2020 (over 3 years);$44.92;May 03, 2021 (about 3 years)
https://www.coingecko.com/en/coins/polygon;4713;Polygon;$0.7355;$6,832,804,406;$7,360,601,039;$0.003144;May 10, 2019 (about 5 years);$2.92;Dec 27, 2021 (over 2 years)
https://www.coingecko.com/en/coins/litecoin;2;Litecoin;$86.31;$6,438,285,782;$396,760,159;$1.15;Jan 14, 2015 (over 9 years);$410.26;May 10, 2021 (about 3 years)
https://www.coingecko.com/en/coins/fetch-ai;5681;Fetch.ai;$2.47;$6,226,462,113;$503,201,444;$0.008170;Mar 13, 2020 (about 4 years);$3.45;Mar 28, 2024 (about 2 months)
https://www.coingecko.com/en/coins/pepe;29850;Pepe;$0.00001450;$6,085,196,141;$1,949,733,696;$0.075514;Apr 18, 2023 (about 1 year);$0.00001454;May 23, 2024 (about 1 hour)
https://www.coingecko.com/en/coins/internet-computer;14495;Internet Computer;$12.65;$5,866,946,707;$113,922,384;$2.87;Sep 22, 2023 (8 months);$700.65;May 10, 2021 (about 3 years)
https://www.coingecko.com/en/coins/leo-token;8418;LEO Token;$5.95;$5,530,125,858;$1,995,116;$0.7999;Dec 24, 2019 (over 4 years);$8.14;Feb 08, 2022 (over 2 years)
https://www.coingecko.com/en/coins/dai;9956;Dai;$1.00;$5,314,964,987;$370,529,659;$0.8820;Mar 11, 2023 (about 1 year);$1.22;Mar 13, 2020 (about 4 years)
https://www.coingecko.com/en/coins/ethereum-classic;453;Ethereum Classic;$31.56;$4,642,659,700;$326,732,043;$0.6150;Jul 25, 2016 (almost 8 years);$167.09;May 06, 2021 (about 3 years)
https://www.coingecko.com/en/coins/wrapped-eeth;33033;Wrapped eETH;$3,951.00;$4,535,398,991;$67,412,437;$2,231.18;Jan 08, 2024 (5 months);$4,196.87;Mar 13, 2024 (2 months)
https://www.coingecko.com/en/coins/render;11636;Render;$10.54;$4,101,937,675;$619,898,386;$0.03666;Jun 16, 2020 (almost 4 years);$13.53;Mar 17, 2024 (2 months)
https://www.coingecko.com/en/coins/hedera;3688;Hedera;$0.1140;$4,074,111,912;$59,807,731;$0.009861;Jan 02, 2020 (over 4 years);$0.5692;Sep 15, 2021 (over 2 years)
https://www.coingecko.com/en/coins/aptos;26455;Aptos;$9.00;$3,911,436,359;$159,261,833;$3.08;Dec 29, 2022 (over 1 year);$19.92;Jan 26, 2023 (over 1 year)
https://www.coingecko.com/en/coins/immutable-x;17233;Immutable;$2.52;$3,735,683,848;$58,054,335;$0.3781;Dec 31, 2022 (over 1 year);$9.52;Nov 26, 2021 (over 2 years)
https://www.coingecko.com/en/coins/renzo-restaked-eth;34753;Renzo Restaked ETH;$3,737.47;$3,726,588,513;$62,967,913;$2,198.04;Jan 26, 2024 (4 months);$4,106.74;Mar 12, 2024 (2 months)
https://www.coingecko.com/en/coins/mantle;30980;Mantle;$1.05;$3,411,073,038;$101,687,789;$0.3080;Oct 18, 2023 (7 months);$1.54;Apr 08, 2024 (about 1 month)
https://www.coingecko.com/en/coins/filecoin;12817;Filecoin;$6.12;$3,397,763,734;$181,776,822;$2.64;Dec 16, 2022 (over 1 year);$236.84;Apr 01, 2021 (about 3 years)
https://www.coingecko.com/en/coins/cronos;7310;Cronos;$0.1262;$3,376,449,168;$3,786,505,252;$0.01212;Feb 08, 2019 (over 5 years);$0.9654;Nov 24, 2021 (over 2 years)
https://www.coingecko.com/en/coins/cosmos-hub;1481;Cosmos Hub;$8.57;$3,344,707,808;$157,445,598;$1.16;Mar 13, 2020 (about 4 years);$44.45;Jan 17, 2022 (over 2 years)
https://www.coingecko.com/en/coins/first-digital-usd;31079;First Digital USD;$0.9996;$3,329,704,605;$7,326,076,197;$0.9421;Aug 17, 2023 (9 months);$1.09;May 20, 2024 (3 days)
https://www.coingecko.com/en/coins/kaspa;25751;Kaspa;$0.1404;$3,314,006,954;$52,766,015;$0.0001710;May 26, 2022 (almost 2 years);$0.1890;Feb 20, 2024 (3 months)
https://www.coingecko.com/en/coins/bittensor;28452;Bittensor;$481.52;$3,283,619,315;$76,569,874;$30.83;May 14, 2023 (about 1 year);$757.60;Mar 07, 2024 (3 months)
https://www.coingecko.com/en/coins/the-graph;13397;The Graph;$0.3377;$3,214,497,978;$122,067,713;$0.05205;Nov 22, 2022 (over 1 year);$2.84;Feb 12, 2021 (over 3 years)
https://www.coingecko.com/en/coins/stellar;100;Stellar;$0.1106;$3,205,173,735;$56,136,871;$0.0004761;Mar 05, 2015 (about 9 years);$0.8756;Jan 03, 2018 (over 6 years)
https://www.coingecko.com/en/coins/arbitrum;16547;Arbitrum;$1.18;$3,128,178,898;$615,696,821;$0.7449;Sep 11, 2023 (8 months);$2.39;Jan 12, 2024 (4 months)
https://www.coingecko.com/en/coins/dogwifhat;33566;dogwifhat;$3.03;$3,017,192,927;$1,000,050,613;$0.001555;Dec 13, 2023 (5 months);$4.83;Mar 31, 2024 (about 2 months)
https://www.coingecko.com/en/coins/stacks;2069;Stacks;$2.06;$3,013,116,793;$3,749,467,608;$0.04560;Mar 13, 2020 (about 4 years);$3.86;Apr 01, 2024 (about 2 months)
https://www.coingecko.com/en/coins/okb;4463;OKB;$49.76;$2,987,291,893;$5,026,394;$0.5806;Jan 14, 2019 (over 5 years);$73.80;Mar 14, 2024 (2 months)
https://www.coingecko.com/en/coins/optimism;25244;Optimism;$2.68;$2,924,443,518;$413,718,053;$0.4022;Jun 18, 2022 (almost 2 years);$4.84;Mar 06, 2024 (3 months)
https://www.coingecko.com/en/coins/arweave;4343;Arweave;$43.93;$2,884,370,999;$136,747,688;$0.2988;Jan 31, 2020 (over 4 years);$89.24;Nov 05, 2021 (over 2 years)
https://www.coingecko.com/en/coins/maker;1364;Maker;$2,928.33;$2,718,620,393;$2,865,176,231;$168.36;Mar 16, 2020 (about 4 years);$6,292.31;May 03, 2021 (about 3 years)
https://www.coingecko.com/en/coins/vechain;1167;VeChain;$0.03615;$2,630,171,018;$57,222,465;$0.001917;Mar 13, 2020 (about 4 years);$0.2810;Apr 19, 2021 (about 3 years)
